#,Source Route,VN Route,Page Type,Source File,WP Template,Status,Vietnamese,CSS,JS,Assets,Future System,Notes
1,/,/,Homepage,index.html,front-page.php -> templates/source/index.html,DONE,PARTIAL,OK,OK,PARTIAL,STATIC PAGE,Renders via static-source mirror. 2 EN strings found (chart section). 2 of 3 hero videos missing poster.
20,/blogs/blog/memcards-the-first-third-party-app-to-launch-on-mentra-market,/blogs/blog/memcards-the-first-third-party-app-to-launch-on-mentra-market/,Blog Article,blogs/blog/memcards-the-first-third-party-app-to-launch-on-mentra-market.html,404.php (soft),MISSING,NO,OK,OK,PARTIAL,WORDPRESS POST,"Soft-404, untranslated body. Same pattern as row 13."
21,/blogs/blog/mentra-3-0-local-miniapps-full-user-control-and-enterprise-smart-glasses,/blogs/blog/mentra-3-0-local-miniapps-full-user-control-and-enterprise-smart-glasses/,Blog Article,blogs/blog/mentra-3-0-local-miniapps-full-user-control-and-enterprise-smart-glasses.html,404.php (soft),MISSING,NO,OK,OK,PARTIAL,WORDPRESS POST,"Soft-404, untranslated body. Newest/most important article (Aug 2026). Same pattern as row 13."
22,/blogs/blog/mentra-live-featured-in-engadget-gizmodo-new-york-post-and-more,/blogs/blog/mentra-live-featured-in-engadget-gizmodo-new-york-post-and-more/,Blog Article,blogs/blog/mentra-live-featured-in-engadget-gizmodo-new-york-post-and-more.html,404.php (soft),MISSING,NO,OK,OK,PARTIAL,WORDPRESS POST,"Soft-404, untranslated body. Same pattern as row 13."
23,/blogs/blog/mentra-live-shipping-update,/blogs/blog/mentra-live-shipping-update/,Blog Article,blogs/blog/mentra-live-shipping-update.html,404.php (soft),MISSING,NO,OK,OK,PARTIAL,WORDPRESS POST,"Soft-404, untranslated body. Same pattern as row 13."
24,/blogs/blog/mentra-roadmap-update-moving-to-miniapps-on-the-phone,/blogs/blog/mentra-roadmap-update-moving-to-miniapps-on-the-phone/,Blog Article,blogs/blog/mentra-roadmap-update-moving-to-miniapps-on-the-phone.html,404.php (soft),MISSING,NO,OK,OK,PARTIAL,WORDPRESS POST,"Soft-404, untranslated body. Same pattern as row 13."
25,/blogs/blog/mentraos-1-0-launch-hackathon-smart-glasses-hackathon-march-2-2025,/blogs/blog/mentraos-1-0-launch-hackathon-smart-glasses-hackathon-march-2-2025/,Blog Article,blogs/blog/mentraos-1-0-launch-hackathon-smart-glasses-hackathon-march-2-2025.html,404.php (soft),MISSING,NO,OK,OK,PARTIAL,WORDPRESS POST,"Soft-404, untranslated body. Same pattern as row 13."
26,/blogs/blog/mentraos-the-smart-glasses-operating-system-app-store,/blogs/blog/mentraos-the-smart-glasses-operating-system-app-store/,Blog Article,blogs/blog/mentraos-the-smart-glasses-operating-system-app-store.html,404.php (soft),MISSING,NO,OK,OK,PARTIAL,WORDPRESS POST,"Soft-404, untranslated body. Same pattern as row 13."
27,/blogs/blog/our-first-press-release-mentra-releases-first-smart-glasses-with-an-app-store,/blogs/blog/our-first-press-release-mentra-releases-first-smart-glasses-with-an-app-store/,Blog Article,blogs/blog/our-first-press-release-mentra-releases-first-smart-glasses-with-an-app-store.html,404.php (soft),MISSING,NO,OK,OK,PARTIAL,WORDPRESS POST,"Soft-404, untranslated body. Same pattern as row 13."
28,/blogs/blog/real-time-captions-with-mentraos,/blogs/blog/real-time-captions-with-mentraos/,Blog Article,blogs/blog/real-time-captions-with-mentraos.html,404.php (soft),MISSING,NO,OK,OK,PARTIAL,WORDPRESS POST,"Soft-404, untranslated body. Same pattern as row 13."
29,/captions,/phu-de/,Landing Page (feature),captions.html,404.php (soft) -> templates/source/captions.html,DONE,YES,OK,OK,OK,STATIC PAGE,Soft-404. Mostly Vietnamese; 'Download' button and '60+ languages' stat still English. | 2026-08-21 PHASE 2: FIXED - real WP Page published (was soft-404). 'Download' button and '60+ languages' stat translated. Verified HTTP 200.
30,/careers,/tuyen-dung/,Careers,careers.html,page.php -> templates/source/careers.html,PARTIAL,YES,OK,OK,OK,FORM PAGE,"Page/copy fully translated and reachable (200), but the application form itself has zero JS handler and zero server-side AJAX action anywhere in theme/plugin - dead form. Classify as PARTIAL due to non-functional form, not translation. | 2026-08-21 PHASE 2: Placeholder 'jane@example.com' fixed for consistency. Career application form itself intentionally NOT wired up this phase (deferred to Forms phase per instructions) - page renders correctly, submission still does nothing."
31,/compare,/so-sanh/,Landing Page (comparison),compare.html,page.php -> templates/source/compare.html,DONE,YES,OK,OK,OK,STATIC PAGE,"Reachable and mostly translated; several EN strings remain in comparison table/FAQ tabs (Feature, Price, 12+ hours, 8 hours, 8+ platforms, Comparison, Privacy & Ma nguon mo). | 2026-08-21 PHASE 2: FIXED - all 7 remaining EN strings translated (Feature/Price table headers, battery stats, FAQ tab labels)."
32,/contact,/lien-he/,Contact,"contact.html, contact@topic=sales.html, contact@topic=support.html (3 source files, 1 logical route/component)",page.php -> templates/source/contact.html,DONE,YES,OK,OK,OK,FORM PAGE,"Reachable and functional (nonce-protected AJAX to wp_mail), but placeholders (John Doe / john@example.com / Acme Corp / Tell us what's on your mind...) and several labels (Follow us, Reach Us, Business & Partnerships, Other) still English. topic= query variants exist in source but query param appears unused on live page - only 1 route needed going forward. Form routes to sales_email/support_email split, not yet a single contact@domain.vn. | 2026-08-21 PHASE 2: FIXED - all 9 remaining EN strings translated (dropdown labels, sidebar headings, form placeholders). Dropdown VALUE attributes intentionally left in English, matching the file's own established convention (value=technical key, label=Vietnamese display text). Recipient still routes via sales_email/support_email split, not unified contact@domain.vn - deferred to Forms phase."
33,/media-inquiries,/truyen-thong/,Press / Media (form),media-inquiries.html,404.php (soft) -> templates/source/media-inquiries.html,DONE,YES,OK,OK,OK,FORM PAGE,Soft-404. Content mostly Vietnamese with working contact form; 'Media'/'Media inquiries' headings untranslated. Classify FORM PAGE / MEDIA. | 2026-08-21 PHASE 2: FIXED - real WP Page published (was soft-404). 'Media'/'Media inquiries' EN strings translated. Verified HTTP 200.
34,/nimo (dup - see row 9),,,,,,,,,,,See row 9.
35,/notes,/mentra-notes/,Landing Page (feature),notes.html,404.php (soft) -> templates/source/notes.html,DONE,YES,OK,OK,BROKEN,STATIC PAGE,"Soft-404. Heavily mixed EN/VI (hero heading/paragraph mostly English). Missing image asset: references Mentra_Ghi chu.png, actual file on disk is Mentra_Notes.png. | 2026-08-21 PHASE 2: FIXED - real WP Page published (was soft-404). All EN fragments translated: hero heading/paragraph, CTA, 2 feature headings ('Summarize', 'Transcribe'), plus 2 more sentences found during verification that the Phase 1 audit had missed. Missing image asset (Mentra_Notes.png) also fixed."
36,/partnerships,/doi-tac/,Partnerships (form),partnerships.html,404.php (soft) -> templates/source/partnerships.html,DONE,YES,OK,OK,OK,FORM PAGE,Soft-404 only - content itself is fully translated and the contact form works; purely a routing/publish gap (no WP Page exists for slug doi-tac). Should be one of the easiest/highest-value fixes. | 2026-08-21 PHASE 2: FIXED - real WP Page published (was soft-404 only; content was already fully translated). Verified HTTP 200.
37,/prescriptions,/trong-kinh/,WooCommerce Product (accessory),prescriptions.html,page.php -> templates/source/prescriptions.html,DONE,YES,OK,OK,OK,WOOCOMMERCE PRODUCT,"Fully translated and reachable. Custom/quote-based add-on (no direct price), CTA is already 'Contact Sales' style, compatible with the no-checkout business rule with minimal rework. | 2026-08-21 PHASE 2: No change needed, already DONE."
38,/privacy (anomaly - dup of homepage),/quyen-rieng-tu (mapped) / actual soft-404 at /privacy/,Legal (anomalous duplicate),privacy.html,404.php (soft) -> templates/source/privacy.html,BROKEN,N/A,N/A,N/A,N/A,REMOVE,Source file privacy.html is byte-identical to index.html in the original wget capture - not real privacy content. WP copy inherits the same anomaly. Recommend excluding this route entirely and relying on the proper privacy-policy content only; do not port privacy.html content.
39,/privacy-policy,/chinh-sach-quyen-rieng-tu/ (soft-404) vs /chinh-sach-bao-mat/ (real placeholder stub),Legal,privacy-policy.html,"404.php (soft) -> templates/source/privacy-policy.html // separately page.php -> /chinh-sach-bao-mat/ (stub, different slug)",PARTIAL,NO,OK,OK,OK,STATIC PAGE,"P1 routing conflict: TWO different VN slugs exist for this one legal page. /chinh-sach-quyen-rieng-tu/ is linked from footer but soft-404s, serving raw untranslated Shopify privacy text (mentions Shopify Payments/Stripe). /chinh-sach-bao-mat/ is a real published WP Page but only contains a Vietnamese placeholder stub ('trang khung...'), not linked from nav/footer. Neither is currently correct or complete. | 2026-08-21 PHASE 2: Routing FIXED - /chinh-sach-quyen-rieng-tu/ is now the sole real published page (HTTP 200, no error404 class); /chinh-sach-bao-mat/ now 301-redirects to it. Body content still untranslated Shopify/Stripe-era US text - needs legal review, NOT fixed this phase."
40,/recalls,/thu-hoi/,Legal / Utility,recalls.html,404.php (soft) -> templates/source/recalls.html,DONE,YES,OK,OK,OK,STATIC PAGE,"Soft-404 only - content is fully translated already. Routing/publish gap only, low-effort fix. | 2026-08-21 PHASE 2: FIXED - real WP Page published (was soft-404 only; content was already fully translated). Verified HTTP 200."
41,/refund-policy,/chinh-sach-doi-tra/ (soft-404) vs /doi-tra/ (real placeholder stub),Legal,refund-policy.html,"404.php (soft) -> templates/source/refund-policy.html // separately page.php -> /doi-tra/ (stub, different slug)",PARTIAL,NO,OK,OK,OK,STATIC PAGE,"Same dual-slug conflict pattern as row 39. Footer link 'Doi tra' points to the soft-404 slug; the real stub page at a different slug is unlinked. | 2026-08-21 PHASE 2: Routing FIXED - /chinh-sach-doi-tra/ is now the sole real published page; /doi-tra/ now 301-redirects to it. Body content still untranslated - needs legal review, not fixed this phase."
42,/shipping-policy,/chinh-sach-van-chuyen/ (soft-404) vs /van-chuyen/ (real placeholder stub),Legal,shipping-policy.html,"404.php (soft) -> templates/source/shipping-policy.html // separately page.php -> /van-chuyen/ (stub, different slug)",PARTIAL,NO,OK,OK,OK,STATIC PAGE,"Same dual-slug conflict pattern as row 39. | 2026-08-21 PHASE 2: Routing FIXED - /chinh-sach-van-chuyen/ is now the sole real published page; /van-chuyen/ now 301-redirects to it. Body content still untranslated - needs legal review, not fixed this phase."
43,/terms-of-service,/dieu-khoan-dich-vu/ (soft-404) vs /dieu-khoan/ (real placeholder stub),Legal,terms-of-service.html,"404.php (soft) -> templates/source/terms-of-service.html // separately page.php -> /dieu-khoan/ (stub, different slug)",PARTIAL,NO,OK,OK,OK,STATIC PAGE,"Same dual-slug conflict pattern as row 39. | 2026-08-21 PHASE 2: Routing FIXED - /dieu-khoan-dich-vu/ is now the sole real published page; /dieu-khoan/ now 301-redirects to it. Body content still untranslated - needs legal review, not fixed this phase."
44,/accessibility,/kha-nang-tiep-can/,Legal / Utility,accessibility.html,404.php (soft) -> templates/source/accessibility.html,DONE,YES,OK,OK,OK,STATIC PAGE,"Soft-404, raw untranslated Shopify accessibility text (mentions Shopify checkout as example of 3rd-party service). | 2026-08-21 PHASE 2: FIXED - real WP Page published (was soft-404). On direct inspection the body content was found ALREADY fully translated to Vietnamese - the Phase 1 audit's finding of '100% English' appears to have been incorrect for this page (possibly a stale crawl). One phrase mentioning Shopify payments as an example is content-accuracy-flagged for later review, not a translation issue."
45,/socials,/mang-xa-hoi/,Social,socials.html,404.php (soft) -> templates/source/socials.html,DONE,YES,OK,PARTIAL,OK,STATIC PAGE,"Soft-404. Mixed EN/VI headings ('Mentra channels', 'Follow Mentra.', 'All Platforms'). Hero content block appears to render twice (duplicate DOM block) - needs manual visual check. | 2026-08-21 PHASE 2: FIXED - real WP Page published (was soft-404). All 3 EN strings translated (both mobile+desktop responsive variants). Investigated the Phase 1 'possible duplicate render' flag: confirmed NOT a bug, it's a legitimate md:hidden/hidden:md:grid responsive split, same pattern as the header logo."
46,/support,/ho-tro/,Support,support.html,page.php -> templates/source/support.html,DONE,PARTIAL,OK,OK,OK,STATIC PAGE,"Fully translated visible link text; category aria-labels (Getting Started, Troubleshooting, etc.) still English (LOW severity). Links out to Zendesk help center, which is entirely English (external, out of WP scope)."
,N/A (WP-only route),/get-mentra,Utility (buy/download CTA),N/A - no source file matched this path,none - true 404,REDIRECT,N/A,N/A,N/A,N/A,FORM PAGE,"P1: True 404 (not soft-404). This is the site-wide footer/nav 'Tai ung dung' (download/get app) CTA destination, and the general buy-CTA pattern used across pages. Per business rule (no checkout), this should resolve to a contact/liaison route, e.g. redirect to /lien-he/ with a pre-filled 'mua hang' topic, rather than restoring a Shopify-style purchase page. | 2026-08-21 PHASE 2: FIXED - was a true 404. Now 301-redirects to /lien-he/?topic=sales. All 47 on-page CTA references updated too (footer 'Tai ung dung' link on every static page, plus 4 App Store/Google Play badge links on captions.html/notes.html repointed to their real external destinations)."
,N/A (WP-only route),/shop/,Utility (WooCommerce default),N/A,WooCommerce archive template,PARTIAL,NO,OK,OK,OK,REMOVE,"WooCommerce default shop archive, overridden only by an English 'coming soon' placeholder. No cart icon links to it, but it is publicly reachable and unauthenticated. Per business rule (WooCommerce = catalog only, no checkout UI) this route should not be publicly exposed as a shopping flow - recommend redirecting to a real catalog page or removing from public routing once the real product catalog page is built. | 2026-08-21 PHASE 2: 302-redirected to home via template_redirect (is_shop()). Kept temporary (not 301) since /shop/ may become a real public catalog listing in a later product phase."
,N/A (WP-only route),/cart/,Utility (WooCommerce default),N/A,WooCommerce cart template,PARTIAL,NO,OK,OK,OK,REMOVE,"Same English 'coming soon' placeholder as /shop/. No cart icon anywhere links to it (correct per business rule), but the route itself is still live and untranslated. Recommend redirecting to home or /lien-he/. | 2026-08-21 PHASE 2: 302-redirected to home via template_redirect (is_cart())."
,N/A (WP-only route),/checkout/,Utility (WooCommerce default),N/A,WooCommerce checkout template,REDIRECT,N/A,N/A,N/A,N/A,REMOVE,"302 redirect to /cart/ (expected WooCommerce empty-cart behavior). Checkout is explicitly out of scope forever per business rule - recommend fully disabling this route once WooCommerce is configured as catalog-only. | 2026-08-21 PHASE 2: 302-redirected to home via template_redirect (is_checkout()), in addition to the pre-existing WooCommerce empty-cart redirect."
,N/A (WP-only route),/my-account/,Utility (WooCommerce default),N/A,WooCommerce my-account template,PARTIAL,NO,OK,OK,OK,REMOVE,"Default WooCommerce login form, entirely untranslated English (My account/Login/Username or email address/Password/Remember me/Log in/Lost your password?). Business rule explicitly excludes My Account from scope - recommend removing/blocking this route. | 2026-08-21 PHASE 2: 302-redirected to home via template_redirect (is_account_page())."
,N/A (WP-only route),/category/uncategorized/,Utility (WP default),N/A,category archive template,PARTIAL,N/A,OK,OK,OK,REMOVE,Default WordPress taxonomy archive showing the demo 'Hello world!' post. Not linked from nav; discovered via Yoast sitemap. Should be removed/cleaned up as part of default-content hygiene. | 2026-08-21 PHASE 2: 302-redirected to home via template_redirect. The demo post that was its only content ('Hello world!') was also trashed.
,N/A (WP-only route),/author/admin/,Utility (WP default),N/A,author archive template,PARTIAL,N/A,OK,OK,OK,REMOVE,"Default WordPress author archive. Not linked from nav; discovered via sitemap. Exposes 'admin' username publicly - minor info-disclosure hygiene issue as well as clutter. | 2026-08-21 PHASE 2: 302-redirected to home via template_redirect (is_author(), applies to all author archives, not just this one)."
,N/A (WP-only route),/hello-world/,Utility (WP default),N/A,single.php,PARTIAL,NO,OK,OK,OK,REMOVE,"Default WordPress demo post, still published, still in English, still listed in the Yoast post-sitemap.xml alongside real content. | 2026-08-21 PHASE 2: Trashed (not permanently deleted) via a one-time wp-load.php bootstrap script. Route now correctly 404s."
,N/A (WP-only route),/sample-page/,Utility (WP default),N/A,page.php (generic fallback),PARTIAL,NO,OK,OK,OK,REMOVE,"Default WordPress demo page, still published, still listed in the Yoast page-sitemap.xml. | 2026-08-21 PHASE 2: Trashed (not permanently deleted) via a one-time wp-load.php bootstrap script. Route now correctly 404s."
